Level	Poor	Standard	Good	Superior	Epic	Legendary	Artifact
120	79.000000	84.000000	86.000000	91.000000	130.000000	130.000000	130.000000
121	80.000000	85.000000	87.000000	92.000000	131.000000	131.000000	131.000000
122	81.000000	86.000000	88.000000	93.000000	132.000000	132.000000	132.000000
123	82.000000	87.000000	89.000000	94.000000	134.000000	134.000000	134.000000
124	83.000000	88.000000	90.000000	95.000000	135.000000	135.000000	135.000000
125	84.000000	89.000000	91.000000	96.000000	137.000000	137.000000	137.000000
126	85.000000	90.000000	92.000000	97.000000	138.000000	138.000000	138.000000
127	86.000000	91.000000	93.000000	98.000000	140.000000	140.000000	140.000000
128	87.000000	92.000000	94.000000	99.000000	141.000000	141.000000	141.000000
129	88.000000	93.000000	95.000000	100.000000	142.000000	142.000000	142.000000
130	89.000000	94.000000	96.000000	101.000000	144.000000	144.000000	144.000000
131	90.000000	95.000000	97.000000	102.000000	145.000000	145.000000	145.000000
132	91.000000	96.000000	98.000000	103.000000	147.000000	147.000000	147.000000
133	92.000000	97.000000	99.000000	104.000000	148.000000	148.000000	148.000000
134	93.000000	98.000000	100.000000	105.000000	150.000000	150.000000	150.000000
135	94.000000	99.000000	101.000000	106.000000	151.000000	151.000000	151.000000
136	95.000000	100.000000	102.000000	107.000000	152.000000	152.000000	152.000000
137	96.000000	101.000000	103.000000	108.000000	154.000000	154.000000	154.000000
138	97.000000	102.000000	104.000000	109.000000	155.000000	155.000000	155.000000
139	98.000000	103.000000	105.000000	110.000000	157.000000	157.000000	157.000000
140	99.000000	104.000000	106.000000	111.000000	158.000000	158.000000	158.000000
141	100.000000	105.000000	107.000000	112.000000	160.000000	160.000000	160.000000
142	101.000000	106.000000	108.000000	113.000000	161.000000	161.000000	161.000000
143	102.000000	107.000000	109.000000	114.000000	162.000000	162.000000	162.000000
144	103.000000	108.000000	110.000000	115.000000	164.000000	164.000000	164.000000
145	104.000000	109.000000	111.000000	116.000000	165.000000	165.000000	165.000000
146	105.000000	110.000000	112.000000	117.000000	167.000000	167.000000	167.000000
147	106.000000	111.000000	113.000000	118.000000	168.000000	168.000000	168.000000
148	107.000000	112.000000	114.000000	119.000000	169.000000	169.000000	169.000000
149	108.000000	113.000000	115.000000	120.000000	171.000000	171.000000	171.000000
150	109.000000	114.000000	116.000000	121.000000	172.000000	172.000000	172.000000
151	110.000000	115.000000	117.000000	122.000000	174.000000	174.000000	174.000000
152	111.000000	116.000000	118.000000	123.000000	175.000000	175.000000	175.000000
153	112.000000	117.000000	119.000000	124.000000	177.000000	177.000000	177.000000
154	113.000000	118.000000	120.000000	125.000000	178.000000	178.000000	178.000000
155	114.000000	119.000000	121.000000	126.000000	179.000000	179.000000	179.000000
156	115.000000	120.000000	122.000000	127.000000	181.000000	181.000000	181.000000
157	116.000000	121.000000	123.000000	128.000000	182.000000	182.000000	182.000000
158	117.000000	122.000000	124.000000	129.000000	184.000000	184.000000	184.000000
159	118.000000	123.000000	125.000000	130.000000	185.000000	185.000000	185.000000
160	119.000000	124.000000	126.000000	131.000000	187.000000	187.000000	187.000000
161	120.000000	125.000000	127.000000	132.000000	188.000000	188.000000	188.000000
162	121.000000	126.000000	128.000000	133.000000	189.000000	189.000000	189.000000
163	122.000000	127.000000	129.000000	134.000000	191.000000	191.000000	191.000000
164	123.000000	128.000000	130.000000	135.000000	192.000000	192.000000	192.000000
165	124.000000	129.000000	131.000000	136.000000	194.000000	194.000000	194.000000
166	125.000000	130.000000	132.000000	137.000000	195.000000	195.000000	195.000000
167	126.000000	131.000000	133.000000	138.000000	197.000000	197.000000	197.000000
168	127.000000	132.000000	134.000000	139.000000	198.000000	198.000000	198.000000
169	128.000000	133.000000	135.000000	140.000000	199.000000	199.000000	199.000000
170	129.000000	134.000000	136.000000	141.000000	201.000000	201.000000	201.000000
171	130.000000	135.000000	137.000000	142.000000	202.000000	202.000000	202.000000
172	131.000000	136.000000	138.000000	143.000000	204.000000	204.000000	204.000000
173	132.000000	137.000000	139.000000	144.000000	205.000000	205.000000	205.000000
174	133.000000	138.000000	140.000000	145.000000	207.000000	207.000000	207.000000
175	134.000000	139.000000	141.000000	146.000000	208.000000	208.000000	208.000000
176	135.000000	140.000000	142.000000	147.000000	209.000000	209.000000	209.000000
177	136.000000	141.000000	143.000000	148.000000	211.000000	211.000000	211.000000
178	137.000000	142.000000	144.000000	149.000000	212.000000	212.000000	212.000000
179	138.000000	143.000000	145.000000	150.000000	214.000000	214.000000	214.000000
180	139.000000	144.000000	146.000000	151.000000	215.000000	215.000000	215.000000
181	140.000000	145.000000	147.000000	152.000000	216.000000	216.000000	216.000000
182	141.000000	146.000000	148.000000	153.000000	218.000000	218.000000	218.000000
183	142.000000	147.000000	149.000000	154.000000	219.000000	219.000000	219.000000
184	143.000000	148.000000	150.000000	155.000000	221.000000	221.000000	221.000000
185	144.000000	149.000000	151.000000	156.000000	222.000000	222.000000	222.000000
186	145.000000	150.000000	152.000000	157.000000	224.000000	224.000000	224.000000
187	146.000000	151.000000	153.000000	158.000000	225.000000	225.000000	225.000000
188	147.000000	152.000000	154.000000	159.000000	226.000000	226.000000	226.000000
189	148.000000	153.000000	155.000000	160.000000	228.000000	228.000000	228.000000
190	149.000000	154.000000	156.000000	161.000000	229.000000	229.000000	229.000000
191	150.000000	155.000000	157.000000	162.000000	231.000000	231.000000	231.000000
192	151.000000	156.000000	158.000000	163.000000	232.000000	232.000000	232.000000
193	152.000000	157.000000	159.000000	164.000000	234.000000	234.000000	234.000000
194	153.000000	158.000000	160.000000	165.000000	235.000000	235.000000	235.000000
195	154.000000	159.000000	161.000000	166.000000	236.000000	236.000000	236.000000
196	155.000000	160.000000	162.000000	167.000000	238.000000	238.000000	238.000000
197	156.000000	161.000000	163.000000	168.000000	239.000000	239.000000	239.000000
198	157.000000	162.000000	164.000000	169.000000	241.000000	241.000000	241.000000
199	158.000000	163.000000	165.000000	170.000000	242.000000	242.000000	242.000000
200	159.000000	164.000000	166.000000	171.000000	244.000000	244.000000	244.000000
201	160.000000	165.000000	167.000000	172.000000	245.000000	245.000000	245.000000
202	161.000000	166.000000	168.000000	173.000000	246.000000	246.000000	246.000000
203	162.000000	167.000000	169.000000	174.000000	248.000000	248.000000	248.000000
204	163.000000	168.000000	170.000000	175.000000	249.000000	249.000000	249.000000
205	164.000000	169.000000	171.000000	176.000000	251.000000	251.000000	251.000000
206	165.000000	170.000000	172.000000	177.000000	252.000000	252.000000	252.000000
207	166.000000	171.000000	173.000000	178.000000	254.000000	254.000000	254.000000
208	167.000000	172.000000	174.000000	179.000000	255.000000	255.000000	255.000000
209	168.000000	173.000000	175.000000	180.000000	256.000000	256.000000	256.000000
210	169.000000	174.000000	176.000000	181.000000	258.000000	258.000000	258.000000
211	170.000000	175.000000	177.000000	182.000000	259.000000	259.000000	259.000000
212	171.000000	176.000000	178.000000	183.000000	261.000000	261.000000	261.000000
213	172.000000	177.000000	179.000000	184.000000	262.000000	262.000000	262.000000
214	173.000000	178.000000	180.000000	185.000000	263.000000	263.000000	263.000000
215	174.000000	179.000000	181.000000	186.000000	265.000000	265.000000	265.000000
216	175.000000	180.000000	182.000000	187.000000	266.000000	266.000000	266.000000
217	176.000000	181.000000	183.000000	188.000000	268.000000	268.000000	268.000000
218	177.000000	182.000000	184.000000	189.000000	269.000000	269.000000	269.000000
219	178.000000	183.000000	185.000000	190.000000	271.000000	271.000000	271.000000
220	179.000000	184.000000	186.000000	191.000000	272.000000	272.000000	272.000000
221	180.000000	185.000000	187.000000	192.000000	273.000000	273.000000	273.000000
222	181.000000	186.000000	188.000000	193.000000	275.000000	275.000000	275.000000
223	182.000000	187.000000	189.000000	194.000000	276.000000	276.000000	276.000000
224	183.000000	188.000000	190.000000	195.000000	278.000000	278.000000	278.000000
225	184.000000	189.000000	191.000000	196.000000	279.000000	279.000000	279.000000
226	185.000000	190.000000	192.000000	197.000000	281.000000	281.000000	281.000000
227	186.000000	191.000000	193.000000	198.000000	282.000000	282.000000	282.000000
228	187.000000	192.000000	194.000000	199.000000	283.000000	283.000000	283.000000
229	188.000000	193.000000	195.000000	200.000000	285.000000	285.000000	285.000000
230	189.000000	194.000000	196.000000	201.000000	286.000000	286.000000	286.000000
231	190.000000	195.000000	197.000000	202.000000	288.000000	288.000000	288.000000
232	191.000000	196.000000	198.000000	203.000000	289.000000	289.000000	289.000000
233	192.000000	197.000000	199.000000	204.000000	291.000000	291.000000	291.000000
234	193.000000	198.000000	200.000000	205.000000	292.000000	292.000000	292.000000
235	194.000000	199.000000	201.000000	206.000000	293.000000	293.000000	293.000000
236	195.000000	200.000000	202.000000	207.000000	295.000000	295.000000	295.000000
237	196.000000	201.000000	203.000000	208.000000	296.000000	296.000000	296.000000
238	197.000000	202.000000	204.000000	209.000000	298.000000	298.000000	298.000000
239	198.000000	203.000000	205.000000	210.000000	299.000000	299.000000	299.000000
240	199.000000	204.000000	206.000000	211.000000	301.000000	301.000000	301.000000
241	200.000000	205.000000	207.000000	212.000000	302.000000	302.000000	302.000000
242	201.000000	206.000000	208.000000	213.000000	303.000000	303.000000	303.000000
243	202.000000	207.000000	209.000000	214.000000	305.000000	305.000000	305.000000
244	203.000000	208.000000	210.000000	215.000000	306.000000	306.000000	306.000000
245	204.000000	209.000000	211.000000	216.000000	308.000000	308.000000	308.000000
246	205.000000	210.000000	212.000000	217.000000	309.000000	309.000000	309.000000
247	206.000000	211.000000	213.000000	218.000000	310.000000	310.000000	310.000000
248	207.000000	212.000000	214.000000	219.000000	312.000000	312.000000	312.000000
249	208.000000	213.000000	215.000000	220.000000	313.000000	313.000000	313.000000
250	209.000000	214.000000	216.000000	221.000000	315.000000	315.000000	315.000000
251	210.000000	215.000000	217.000000	222.000000	316.000000	316.000000	316.000000
252	211.000000	216.000000	218.000000	223.000000	318.000000	318.000000	318.000000
253	212.000000	217.000000	219.000000	224.000000	319.000000	319.000000	319.000000
254	213.000000	218.000000	220.000000	225.000000	320.000000	320.000000	320.000000
255	214.000000	219.000000	221.000000	226.000000	322.000000	322.000000	322.000000
256	215.000000	220.000000	222.000000	227.000000	323.000000	323.000000	323.000000
257	216.000000	221.000000	223.000000	228.000000	325.000000	325.000000	325.000000
258	217.000000	222.000000	224.000000	229.000000	326.000000	326.000000	326.000000
259	218.000000	223.000000	225.000000	230.000000	328.000000	328.000000	328.000000
260	219.000000	224.000000	226.000000	231.000000	329.000000	329.000000	329.000000
261	220.000000	225.000000	227.000000	232.000000	330.000000	330.000000	330.000000
262	221.000000	226.000000	228.000000	233.000000	332.000000	332.000000	332.000000
263	222.000000	227.000000	229.000000	234.000000	333.000000	333.000000	333.000000
264	223.000000	228.000000	230.000000	235.000000	335.000000	335.000000	335.000000
265	224.000000	229.000000	231.000000	236.000000	336.000000	336.000000	336.000000
266	225.000000	230.000000	232.000000	237.000000	338.000000	338.000000	338.000000
267	226.000000	231.000000	233.000000	238.000000	339.000000	339.000000	339.000000
268	227.000000	232.000000	234.000000	239.000000	340.000000	340.000000	340.000000
269	228.000000	233.000000	235.000000	240.000000	342.000000	342.000000	342.000000
270	229.000000	234.000000	236.000000	241.000000	343.000000	343.000000	343.000000
271	230.000000	235.000000	237.000000	242.000000	345.000000	345.000000	345.000000
272	231.000000	236.000000	238.000000	243.000000	346.000000	346.000000	346.000000
273	232.000000	237.000000	239.000000	244.000000	348.000000	348.000000	348.000000
274	233.000000	238.000000	240.000000	245.000000	349.000000	349.000000	349.000000
275	234.000000	239.000000	241.000000	246.000000	350.000000	350.000000	350.000000
276	235.000000	240.000000	242.000000	247.000000	352.000000	352.000000	352.000000
277	236.000000	241.000000	243.000000	248.000000	353.000000	353.000000	353.000000
278	237.000000	242.000000	244.000000	249.000000	355.000000	355.000000	355.000000
279	238.000000	243.000000	245.000000	250.000000	356.000000	356.000000	356.000000
280	239.000000	244.000000	246.000000	251.000000	357.000000	357.000000	357.000000
281	240.000000	245.000000	247.000000	252.000000	359.000000	359.000000	359.000000
282	241.000000	246.000000	248.000000	253.000000	360.000000	360.000000	360.000000
283	242.000000	247.000000	249.000000	254.000000	362.000000	362.000000	362.000000
284	243.000000	248.000000	250.000000	255.000000	363.000000	363.000000	363.000000
285	244.000000	249.000000	251.000000	256.000000	365.000000	365.000000	365.000000
286	245.000000	250.000000	252.000000	257.000000	366.000000	366.000000	366.000000
287	246.000000	251.000000	253.000000	258.000000	367.000000	367.000000	367.000000
288	247.000000	252.000000	254.000000	259.000000	369.000000	369.000000	369.000000
289	248.000000	253.000000	255.000000	260.000000	370.000000	370.000000	370.000000
290	249.000000	254.000000	256.000000	261.000000	372.000000	372.000000	372.000000
291	250.000000	255.000000	257.000000	262.000000	373.000000	373.000000	373.000000
292	251.000000	256.000000	258.000000	263.000000	375.000000	375.000000	375.000000
293	252.000000	257.000000	259.000000	264.000000	376.000000	376.000000	376.000000
294	253.000000	258.000000	260.000000	265.000000	377.000000	377.000000	377.000000
295	254.000000	259.000000	261.000000	266.000000	379.000000	379.000000	379.000000
296	255.000000	260.000000	262.000000	267.000000	380.000000	380.000000	380.000000
297	256.000000	261.000000	263.000000	268.000000	382.000000	382.000000	382.000000
298	257.000000	262.000000	264.000000	269.000000	383.000000	383.000000	383.000000
299	258.000000	263.000000	265.000000	270.000000	385.000000	385.000000	385.000000
300	259.000000	264.000000	266.000000	271.000000	386.000000	386.000000	386.000000
