Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Item	Consumable	Gem1	Gem2	Gem3	Health
86	0	0	0	0	0	0	0	0	0	0	0	0	60	37000	8	10	12	31728
87	0	0	0	0	0	0	0	0	0	0	0	0	63	37000	8	10	12	32832
88	0	0	0	0	0	0	0	0	0	0	0	0	65	37000	8	10	12	33936
89	0	0	0	0	0	0	0	0	0	0	0	0	66	37000	8	10	12	35819
90	0	0	0	0	0	0	0	0	0	0	0	0	67	37000	8	10	12	36897
91	0	0	0	0	0	0	0	0	0	0	0	0	101	80000	17.5	25	37.5	50568
92	0	0	0	0	0	0	0	0	0	0	0	0	118	80000	17.5	25	37.5	64554
93	0	0	0	0	0	0	0	0	0	0	0	0	139	80000	17.5	25	37.5	78430
94	0	0	0	0	0	0	0	0	0	0	0	0	162	140000	17.5	25	37.5	96860
95	0	0	0	0	0	0	0	0	0	0	0	0	190	140000	17.5	25	37.5	117600
96	0	0	0	0	0	0	0	0	0	0	0	0	225	140000	17.5	25	37.5	138420
97	0	0	0	0	0	0	0	0	0	0	0	0	234	170000	17.5	25	37.5	143940
98	0	0	0	0	0	0	0	0	0	0	0	0	242	170000	17.5	25	37.5	149520
99	0	0	0	0	0	0	0	0	0	0	0	0	252	170000	17.5	25	37.5	155100
100	0	0	0	0	0	0	0	0	0	0	0	0	261	170000	17.5	25	37.5	160680
101	0	0	0	0	0	0	0	0	0	0	0	0	639	500000	180	240	300	492840
102	0	0	0	0	0	0	0	0	0	0	0	0	735	500000	180	240	300	519420
103	0	0	0	0	0	0	0	0	0	0	0	0	845	500000	180	240	300	593940
104	0	0	0	0	0	0	0	0	0	0	0	0	971	700000	180	240	300	671760
105	0	0	0	0	0	0	0	0	0	0	0	0	1066	700000	180	240	300	737820
106	0	0	0	0	0	0	0	0	0	0	0	0	1170	700000	180	240	300	809760
107	0	0	0	0	0	0	0	0	0	0	0	0	1285	1200000	180	240	300	880800
108	0	0	0	0	0	0	0	0	0	0	0	0	1410	1200000	180	240	300	966720
109	0	0	0	0	0	0	0	0	0	0	0	0	1562	1200000	180	240	300	1061160
110	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
111	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
112	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
113	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
114	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
115	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
116	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
117	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
118	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
119	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
120	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
121	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
122	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
123	0	0	0	0	0	0	0	0	0	0	0	0	1699	1200000	180	240	300	1164540
